TE	B22	COR	FIN	GIM	JUT	KIE	LUN	MUN	R177	R375	REF	SLO	TEN	TOM
TE_15722	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15723	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15724	0	0	1	0	0	1	0	1	0	1	0	1	0	1
TE_15725	0	0	1	0	1	0	1	0	0	1	1	0	1	0
TE_15726	0	0	1	0	1	0	1	0	1	0	1	0	1	0
TE_15727	0	0	1	0	0	0	0	0	0	0	1	0	0	0
TE_15728	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15729	0	0	1	0	0	0	1	1	0	0	0	0	0	0
TE_15730	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TE_15731	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TE_15732	0	0	1	0	0	0	0	0	0	0	1	0	0	0
TE_15733	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15734	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15735	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15736	0	0	1	0	0	1	1	0	1	1	1	1	1	0
TE_15737	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15738	0	0	1	0	0	1	1	1	1	0	1	1	0	1
TE_15739	0	0	1	0	0	0	1	1	1	0	0	0	0	0
TE_15740	0	0	1	0	0	0	0	0	0	1	0	0	0	1
TE_15741	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_15742	0	0	1	0	0	0	0	0	1	0	0	0	1	1
TE_15743	0	0	1	1	0	1	0	0	0	0	0	0	0	0
TE_15744	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15745	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15746	0	0	1	1	1	1	1	1	1	1	1	1	1	1
TE_15747	0	0	1	0	0	0	0	0	0	1	0	0	0	0
TE_15748	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15749	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15750	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TE_15751	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15752	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_15753	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15754	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15755	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15756	0	0	1	0	0	1	0	0	1	0	0	0	0	0
TE_15757	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15758	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15759	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15760	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15761	0	0	1	1	1	0	1	1	0	1	1	1	1	1
TE_15762	0	0	1	1	1	1	0	0	0	1	0	0	0	0
TE_15763	0	0	1	1	1	0	0	0	1	0	0	1	0	0
TE_15764	0	0	1	0	0	0	0	1	0	1	1	0	1	0
TE_15765	0	0	1	0	1	1	1	1	1	1	0	0	1	1
TE_15766	0	0	1	0	1	1	0	1	0	0	1	0	1	0
TE_15767	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15768	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15769	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15770	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15771	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15772	0	0	1	1	1	1	1	1	1	1	1	1	1	0
TE_15773	0	0	1	0	1	1	1	1	0	0	0	1	1	1
TE_15774	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15775	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15776	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15777	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15778	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15779	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15780	0	0	1	1	0	0	1	1	0	0	0	0	0	1
TE_15781	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15782	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15783	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15784	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15785	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15786	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15787	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15788	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15789	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15790	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15791	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15792	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15793	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15794	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15795	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15796	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15797	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15798	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15799	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15800	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15801	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15802	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15803	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15804	0	0	1	0	0	0	0	0	1	0	1	0	0	0
TE_15805	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15806	0	0	1	1	1	1	1	1	0	1	1	1	1	0
TE_15807	0	0	1	1	1	1	1	1	1	1	1	1	1	0
TE_15808	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15809	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15810	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15811	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15812	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15813	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15814	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15815	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15816	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15817	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15818	0	0	1	0	1	0	0	0	0	0	0	0	1	0
TE_15819	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TE_15820	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15821	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15822	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15823	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15824	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15825	0	0	1	0	0	0	0	0	0	0	1	0	0	1
TE_15826	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15827	0	0	1	1	0	0	0	0	0	0	0	0	0	1
TE_15828	0	0	1	1	1	0	0	0	0	0	0	0	0	0
TE_15829	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15830	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15831	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15832	0	0	1	0	0	1	0	0	1	0	0	0	0	0
TE_15833	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TE_15834	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15835	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15836	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15837	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15838	0	0	1	0	1	0	0	0	0	0	0	1	0	0
TE_15839	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15840	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TE_15841	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15842	0	0	1	0	0	0	0	1	0	0	0	0	0	1
TE_15843	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15844	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15845	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15846	0	0	1	0	0	0	0	0	0	0	1	0	0	0
TE_15847	0	0	1	0	1	0	1	0	0	0	0	1	0	1
TE_15848	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15849	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15850	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15851	0	0	1	0	1	0	0	0	0	0	0	0	1	0
TE_15852	0	0	1	0	1	0	0	0	0	0	0	0	1	0
TE_15853	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15854	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15855	0	0	1	0	1	0	1	0	0	0	0	0	1	0
TE_15856	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_15857	0	0	1	0	1	0	1	0	0	0	0	0	1	0
TE_15858	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15859	0	0	1	0	1	0	0	0	0	0	1	0	0	0
TE_15860	0	0	1	0	1	0	0	0	0	1	0	1	0	0
TE_15861	0	0	1	1	1	1	0	1	1	1	1	0	1	0
TE_15862	0	0	1	1	1	1	1	1	0	1	1	1	1	0
TE_15863	0	0	1	1	0	1	0	0	0	1	0	0	0	1
TE_15864	0	0	1	0	0	0	1	0	0	0	1	0	1	0
TE_15865	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15866	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15867	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TE_15868	0	0	1	0	0	0	0	0	0	0	1	0	0	1
TE_15869	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15870	0	0	1	0	1	1	1	0	0	1	1	1	1	0
TE_15871	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15872	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15873	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15874	0	0	1	0	0	0	0	1	0	0	1	0	0	0
TE_15875	0	0	1	0	0	1	0	1	1	0	0	0	0	0
TE_15876	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15877	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15878	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15879	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15880	0	0	1	0	1	0	1	0	1	0	0	0	0	0
TE_15881	0	0	1	0	1	0	1	0	1	0	0	1	0	0
TE_15882	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15883	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15884	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15885	0	0	1	0	0	0	0	0	0	0	0	1	0	0
TE_15886	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TE_15887	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15888	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15889	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_15890	0	0	1	1	0	0	0	0	1	1	0	0	0	0
TE_15891	0	0	1	1	1	1	0	0	0	0	0	0	0	0
TE_15892	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15893	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15894	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15895	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15896	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_15897	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15898	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15899	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15900	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15901	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15902	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15903	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15904	0	0	1	0	0	1	1	0	0	0	0	1	0	0
TE_15905	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15906	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15907	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15908	0	0	1	0	1	0	0	0	0	1	1	0	0	0
TE_15909	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15910	0	0	1	0	0	1	1	1	1	1	0	1	0	0
TE_15911	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15912	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15913	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15914	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15915	0	0	1	0	0	0	0	0	1	0	0	1	0	0
TE_15916	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_15917	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15918	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15919	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15920	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15921	0	0	1	0	0	0	0	0	1	0	1	1	1	1
TE_15922	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TE_15923	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15924	0	0	1	0	0	0	1	1	0	0	0	1	0	0
TE_15925	0	0	1	1	1	0	1	1	1	1	1	0	0	0
TE_15926	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15927	0	0	1	0	1	0	0	0	1	0	0	0	0	0
TE_15928	0	0	1	0	0	0	0	0	0	0	1	1	0	0
TE_15929	0	0	1	0	0	0	0	1	0	1	0	0	1	0
TE_15930	0	0	1	1	1	1	0	1	1	1	0	0	1	1
TE_15931	0	0	1	0	0	0	0	1	0	1	1	0	1	0
TE_15932	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15933	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15934	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15935	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15936	0	0	1	0	0	0	0	0	1	0	0	0	0	0
TE_15937	0	0	1	0	0	1	0	0	0	0	0	0	0	0
TE_15938	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15939	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15940	0	0	1	0	0	0	0	0	0	0	1	0	1	1
TE_15941	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15942	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15943	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15944	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15945	0	0	1	0	1	1	0	0	0	1	1	1	1	1
TE_15946	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15947	0	0	1	0	0	1	0	0	0	0	0	0	0	0
TE_15948	0	0	1	1	1	1	0	1	0	1	1	1	0	0
TE_15949	0	0	1	1	1	1	1	1	1	1	0	0	0	1
TE_15950	0	0	1	1	1	1	1	0	1	1	1	1	1	1
TE_15951	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15952	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15953	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15954	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15955	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15956	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15957	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15958	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TE_15959	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TE_15960	0	0	1	0	0	0	0	0	0	0	0	1	0	1
TE_15961	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15962	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15963	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15964	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15965	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15966	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15967	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15968	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15969	0	0	1	0	0	0	0	1	0	1	0	0	0	1
TE_15970	0	0	1	0	0	0	0	0	0	1	0	0	0	0
TE_15971	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15972	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15973	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15974	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15975	0	0	1	1	0	0	1	0	0	1	0	0	1	0
TE_15976	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TE_15977	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15978	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15979	0	0	1	0	0	0	1	1	1	0	1	0	0	0
TE_15980	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15981	0	0	1	0	0	0	0	0	0	0	1	0	0	1
TE_15982	0	0	1	0	1	0	0	1	1	1	1	1	0	0
TE_15983	0	0	1	1	0	0	1	0	0	0	0	0	0	0
TE_15984	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15985	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15986	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15987	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15988	0	0	1	0	1	0	0	0	1	0	1	0	0	0
TE_15989	0	0	1	0	1	0	1	0	0	0	1	1	0	0
TE_15990	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15991	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15992	0	0	1	0	1	0	0	0	0	0	1	0	1	0
TE_15993	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15994	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_15995	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_15996	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_15997	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_15998	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_15999	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16000	0	0	1	0	1	0	0	0	0	0	0	0	0	1
TE_16001	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16002	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16003	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16004	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_16005	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16006	0	0	1	0	1	1	1	1	0	0	0	1	0	0
TE_16007	0	0	1	0	0	0	0	0	0	0	1	0	0	0
TE_16008	0	0	1	0	0	0	0	0	0	1	0	0	0	1
TE_16009	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16010	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16011	0	0	1	1	1	0	1	1	0	1	1	1	1	1
TE_16012	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16013	0	0	1	1	0	1	1	1	1	0	1	0	0	1
TE_16014	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16015	0	0	1	1	1	0	0	1	1	1	1	0	1	1
TE_16016	0	0	1	1	1	0	0	0	0	1	1	0	0	1
TE_16017	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16018	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16019	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16020	0	0	1	0	0	0	0	0	0	0	1	1	1	0
TE_16021	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16022	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16023	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16024	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16025	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16026	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16027	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16028	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16029	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16030	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_16031	0	0	1	0	0	1	1	1	1	0	1	1	1	1
TE_16032	0	0	1	0	1	0	1	0	0	0	0	0	0	0
TE_16033	0	0	1	0	1	1	0	1	1	0	0	1	0	1
TE_16034	0	0	1	0	1	0	0	1	1	0	0	1	0	1
TE_16035	0	0	1	0	1	0	0	1	1	0	0	1	1	1
TE_16036	0	0	1	0	1	0	0	0	0	0	0	1	0	0
TE_16037	0	0	1	0	1	0	0	0	0	0	0	1	0	0
TE_16038	0	0	1	0	1	0	0	0	0	0	0	1	0	0
TE_16039	0	0	1	0	1	0	0	0	0	0	0	1	0	0
TE_16040	0	0	1	1	1	1	1	1	1	0	0	0	0	1
TE_16041	0	0	1	0	1	0	1	1	1	0	0	0	0	1
TE_16042	0	0	1	0	1	0	0	1	1	0	0	1	0	0
TE_16043	0	0	1	1	0	1	0	1	0	1	1	0	1	1
TE_16044	0	0	1	0	0	0	0	0	0	0	1	0	0	0
TE_16045	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16046	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_16047	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16048	0	0	1	1	0	0	0	1	0	0	0	0	0	0
TE_16049	0	0	1	0	0	0	0	0	0	1	1	0	1	0
TE_16050	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16051	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16052	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16053	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16054	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16055	0	0	1	0	0	0	0	0	1	1	0	0	0	0
TE_16056	0	0	1	0	1	1	0	1	1	0	0	1	0	1
TE_16057	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TE_16058	0	0	1	1	1	1	1	0	1	1	1	1	1	1
TE_16059	0	0	1	0	1	1	0	0	0	0	1	0	0	0
TE_16060	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16061	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16062	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16063	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16064	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16065	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16066	0	0	1	0	1	0	0	0	0	0	1	0	0	0
TE_16067	0	0	1	0	0	0	0	0	1	0	0	0	0	0
TE_16068	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TE_16069	0	0	1	0	0	1	0	0	0	0	0	0	0	0
TE_16070	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16071	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16072	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16073	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16074	0	0	1	0	1	1	0	0	0	0	0	0	0	0
TE_16075	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16076	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16077	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16078	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16079	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16080	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16081	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16082	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16083	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16084	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TE_16085	0	0	1	0	0	0	0	0	0	1	0	0	0	0
TE_16086	0	0	1	1	0	1	1	1	0	1	0	0	0	1
TE_16087	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16088	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16089	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16090	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16091	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16092	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_16093	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16094	0	0	1	0	1	0	0	0	0	0	0	0	1	0
TE_16095	0	0	1	0	0	0	0	1	1	0	0	0	0	0
TE_16096	0	0	1	0	0	0	0	0	1	0	0	1	0	1
TE_16097	0	0	1	0	1	0	1	0	0	1	1	1	1	1
TE_16098	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16099	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16100	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16101	0	0	1	0	0	0	0	1	1	0	0	0	1	1
TE_16102	0	0	1	0	0	1	0	1	1	1	1	0	1	1
TE_16103	0	0	1	0	0	1	1	1	1	1	1	0	0	1
TE_16104	0	0	1	1	0	1	1	1	0	1	1	1	1	1
TE_16105	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16106	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16107	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16108	0	0	1	0	0	1	1	0	0	1	0	0	0	0
TE_16109	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TE_16110	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16111	0	0	1	0	0	0	0	0	0	1	0	0	0	1
TE_16112	0	0	1	0	1	1	0	0	0	0	1	1	0	0
TE_16113	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16114	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16115	0	0	1	1	0	0	1	0	0	0	0	0	1	1
TE_16116	0	0	1	1	1	0	1	0	0	1	1	1	1	1
TE_16117	0	0	1	0	0	0	0	1	0	0	0	0	1	1
TE_16118	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TE_16119	0	0	1	0	1	1	1	0	0	0	0	0	1	0
TE_16120	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TE_16121	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16122	0	0	1	0	0	0	0	0	0	0	0	0	1	0
TE_16123	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16124	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16125	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16126	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16127	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16128	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TE_16129	0	0	1	0	0	0	0	0	0	0	0	0	1	0
TE_16130	0	0	1	0	0	1	0	0	0	0	0	0	0	1
TE_16131	0	0	1	0	0	0	0	0	0	0	0	0	0	0
